x, y, z
-64.600000, 37.500000, 15.000000
-64.575000, 37.458333, 15.000000
-64.550000, 37.416667, 15.000000
-64.525000, 37.375000, 15.000000
-64.500000, 37.333333, 15.000000
-64.475000, 37.291667, 15.000000
-64.450000, 37.250000, 15.000000
-64.425000, 37.208333, 15.000000
-64.400000, 37.166667, 15.000000
-64.375000, 37.125000, 15.000000
-64.350000, 37.083333, 15.000000
-64.325000, 37.041667, 15.000000
-64.300000, 37.000000, 15.000000
-64.275000, 36.966667, 15.416667
-64.250000, 36.933333, 15.833333
-64.225000, 36.900000, 16.250000
-64.200000, 36.866667, 16.666667
-64.175000, 36.833333, 17.083333
-64.150000, 36.800000, 17.500000
-64.125000, 36.766667, 17.916667
-64.100000, 36.733333, 18.333333
-64.075000, 36.700000, 18.750000
-64.050000, 36.666667, 19.166667
-64.025000, 36.633333, 19.583333
-64.000000, 36.600000, 20.000000
-63.975000, 36.566667, 20.416667
-63.950000, 36.533333, 20.833333
-63.925000, 36.500000, 21.250000
-63.900000, 36.466667, 21.666667
-63.875000, 36.433333, 22.083333
-63.850000, 36.400000, 22.500000
-63.825000, 36.366667, 22.916667
-63.800000, 36.333333, 23.333333
-63.775000, 36.300000, 23.750000
-63.750000, 36.266667, 24.166667
-63.725000, 36.233333, 24.583333
-63.700000, 36.200000, 25.000000
-63.675000, 36.166667, 25.000000
-63.650000, 36.133333, 25.000000
-63.625000, 36.100000, 25.000000
-63.600000, 36.066667, 25.000000
-63.575000, 36.033333, 25.000000
-63.550000, 36.000000, 25.000000
-63.525000, 35.966667, 25.000000
-63.500000, 35.933333, 25.000000
-63.475000, 35.900000, 25.000000
-63.450000, 35.866667, 25.000000
-63.425000, 35.833333, 25.000000
-63.400000, 35.800000, 25.000000
-63.375000, 35.766667, 25.000000
-63.350000, 35.733333, 25.000000
-63.325000, 35.700000, 25.000000
-63.300000, 35.666667, 25.000000
-63.275000, 35.633333, 25.000000
-63.250000, 35.600000, 25.000000
-63.225000, 35.566667, 25.000000
-63.200000, 35.533333, 25.000000
-63.175000, 35.500000, 25.000000
-63.150000, 35.466667, 25.000000
-63.125000, 35.433333, 25.000000
-63.100000, 35.400000, 25.000000
-63.075000, 35.350000, 25.000000
-63.050000, 35.300000, 25.000000
-63.025000, 35.250000, 25.000000
-63.000000, 35.200000, 25.000000
-62.975000, 35.150000, 25.000000
-62.950000, 35.100000, 25.000000
-62.925000, 35.050000, 25.000000
-62.900000, 35.000000, 25.000000
-62.875000, 34.950000, 25.000000
-62.850000, 34.900000, 25.000000
-62.825000, 34.850000, 25.000000
-62.800000, 34.800000, 25.000000
-62.791667, 34.741667, 25.000000
-62.783333, 34.683333, 25.000000
-62.775000, 34.625000, 25.000000
-62.766667, 34.566667, 25.000000
-62.758333, 34.508333, 25.000000
-62.750000, 34.450000, 25.000000
-62.741667, 34.391667, 25.000000
-62.733333, 34.333333, 25.000000
-62.725000, 34.275000, 25.000000
-62.716667, 34.216667, 25.000000
-62.708333, 34.158333, 25.000000
-62.700000, 34.100000, 25.000000
-62.700000, 34.041667, 25.000000
-62.700000, 33.983333, 25.000000
-62.700000, 33.925000, 25.000000
-62.700000, 33.866667, 25.000000
-62.700000, 33.808333, 25.000000
-62.700000, 33.750000, 25.000000
-62.700000, 33.691667, 25.000000
-62.700000, 33.633333, 25.000000
-62.700000, 33.575000, 25.000000
-62.700000, 33.516667, 25.000000
-62.700000, 33.458333, 25.000000
-62.700000, 33.400000, 25.000000
-62.700000, 33.325000, 25.416667
-62.700000, 33.250000, 25.833333
-62.700000, 33.175000, 26.250000
-62.700000, 33.100000, 26.666667
-62.700000, 33.025000, 27.083333
-62.700000, 32.950000, 27.500000
-62.700000, 32.875000, 27.916667
-62.700000, 32.800000, 28.333333
-62.700000, 32.725000, 28.750000
-62.700000, 32.650000, 29.166667
-62.700000, 32.575000, 29.583333
-62.700000, 32.500000, 30.000000
-62.700000, 32.416667, 30.000000
-62.700000, 32.333333, 30.000000
-62.700000, 32.250000, 30.000000
-62.700000, 32.166667, 30.000000
-62.700000, 32.083333, 30.000000
-62.700000, 32.000000, 30.000000
-62.700000, 31.916667, 30.000000
-62.700000, 31.833333, 30.000000
-62.700000, 31.750000, 30.000000
-62.700000, 31.666667, 30.000000
-62.700000, 31.583333, 30.000000
-62.700000, 31.500000, 30.000000
-62.716667, 31.466667, 30.416667
-62.733333, 31.433333, 30.833333
-62.750000, 31.400000, 31.250000
-62.766667, 31.366667, 31.666667
-62.783333, 31.333333, 32.083333
-62.800000, 31.300000, 32.500000
-62.816667, 31.266667, 32.916667
-62.833333, 31.233333, 33.333333
-62.850000, 31.200000, 33.750000
-62.866667, 31.166667, 34.166667
-62.883333, 31.133333, 34.583333
-62.900000, 31.100000, 35.000000
-62.916667, 31.075000, 35.416667
-62.933333, 31.050000, 35.833333
-62.950000, 31.025000, 36.250000
-62.966667, 31.000000, 36.666667
-62.983333, 30.975000, 37.083333
-63.000000, 30.950000, 37.500000
-63.016667, 30.925000, 37.916667
-63.033333, 30.900000, 38.333333
-63.050000, 30.875000, 38.750000
-63.066667, 30.850000, 39.166667
-63.083333, 30.825000, 39.583333
-63.100000, 30.800000, 40.000000
-63.116667, 30.783333, 40.416667
-63.133333, 30.766667, 40.833333
-63.150000, 30.750000, 41.250000
-63.166667, 30.733333, 41.666667
-63.183333, 30.716667, 42.083333
-63.200000, 30.700000, 42.500000
-63.216667, 30.683333, 42.916667
-63.233333, 30.666667, 43.333333
-63.250000, 30.650000, 43.750000
-63.266667, 30.633333, 44.166667
-63.283333, 30.616667, 44.583333
-63.300000, 30.600000, 45.000000
-63.316667, 30.591667, 45.000000
-63.333333, 30.583333, 45.000000
-63.350000, 30.575000, 45.000000
-63.366667, 30.566667, 45.000000
-63.383333, 30.558333, 45.000000
-63.400000, 30.550000, 45.000000
-63.416667, 30.541667, 45.000000
-63.433333, 30.533333, 45.000000
-63.450000, 30.525000, 45.000000
-63.466667, 30.516667, 45.000000
-63.483333, 30.508333, 45.000000
-63.500000, 30.500000, 45.000000
-63.516667, 30.491667, 45.833333
-63.533333, 30.483333, 46.666667
-63.550000, 30.475000, 47.500000
-63.566667, 30.466667, 48.333333
-63.583333, 30.458333, 49.166667
-63.600000, 30.450000, 50.000000
-63.616667, 30.441667, 50.833333
-63.633333, 30.433333, 51.666667
-63.650000, 30.425000, 52.500000
-63.666667, 30.416667, 53.333333
-63.683333, 30.408333, 54.166667
-63.700000, 30.400000, 55.000000
-63.766667, 30.383333, 55.000000
-63.833333, 30.366667, 55.000000
-63.900000, 30.350000, 55.000000
-63.966667, 30.333333, 55.000000
-64.033333, 30.316667, 55.000000
-64.100000, 30.300000, 55.000000
-64.166667, 30.283333, 55.000000
-64.233333, 30.266667, 55.000000
-64.300000, 30.250000, 55.000000
-64.366667, 30.233333, 55.000000
-64.433333, 30.216667, 55.000000
-64.500000, 30.200000, 55.000000
-64.566667, 30.191667, 55.000000
-64.633333, 30.183333, 55.000000
-64.700000, 30.175000, 55.000000
-64.766667, 30.166667, 55.000000
-64.833333, 30.158333, 55.000000
-64.900000, 30.150000, 55.000000
-64.966667, 30.141667, 55.000000
-65.033333, 30.133333, 55.000000
-65.100000, 30.125000, 55.000000
-65.166667, 30.116667, 55.000000
-65.233333, 30.108333, 55.000000
-65.300000, 30.100000, 55.000000
-65.375000, 30.091667, 55.000000
-65.450000, 30.083333, 55.000000
-65.525000, 30.075000, 55.000000
-65.600000, 30.066667, 55.000000
-65.675000, 30.058333, 55.000000
-65.750000, 30.050000, 55.000000
-65.825000, 30.041667, 55.000000
-65.900000, 30.033333, 55.000000
